key,value
AccountTrie.Name,account trie
AccountTrie.Levels[0].Short,0
AccountTrie.Levels[0].Full,1
AccountTrie.Levels[0].Value,0
AccountTrie.Levels[0].Size,532
AccountTrie.Levels[1].Short,0
AccountTrie.Levels[1].Full,16
AccountTrie.Levels[1].Value,0
AccountTrie.Levels[1].Size,8512
AccountTrie.Levels[2].Short,0
AccountTrie.Levels[2].Full,256
AccountTrie.Levels[2].Value,0
AccountTrie.Levels[2].Size,136192
AccountTrie.Levels[3].Short,0
AccountTrie.Levels[3].Full,4096
AccountTrie.Levels[3].Value,0
AccountTrie.Levels[3].Size,2179072
AccountTrie.Levels[4].Short,0
AccountTrie.Levels[4].Full,65536
AccountTrie.Levels[4].Value,0
AccountTrie.Levels[4].Size,34865152
AccountTrie.Levels[5].Short,0
AccountTrie.Levels[5].Full,1048576
AccountTrie.Levels[5].Value,0
AccountTrie.Levels[5].Size,557842432
AccountTrie.Levels[6].Short,0
AccountTrie.Levels[6].Full,16777216
AccountTrie.Levels[6].Value,0
AccountTrie.Levels[6].Size,6792963969
AccountTrie.Levels[7].Short,97012726
AccountTrie.Levels[7].Full,104785364
AccountTrie.Levels[7].Value,0
AccountTrie.Levels[7].Size,20443190831
AccountTrie.Levels[8].Short,250655925
AccountTrie.Levels[8].Full,14693392
AccountTrie.Levels[8].Value,92846447
AccountTrie.Levels[8].Size,28038383802
AccountTrie.Levels[9].Short,29684590
AccountTrie.Levels[9].Full,765129
AccountTrie.Levels[9].Value,249965148
AccountTrie.Levels[9].Size,3213961529
AccountTrie.Levels[10].Short,1531140
AccountTrie.Levels[10].Full,6113
AccountTrie.Levels[10].Value,29678725
AccountTrie.Levels[10].Size,162858530
AccountTrie.Levels[11].Short,12227
AccountTrie.Levels[11].Full,72
AccountTrie.Levels[11].Value,1531068
AccountTrie.Levels[11].Size,1284738
AccountTrie.Levels[12].Short,144
AccountTrie.Levels[12].Full,0
AccountTrie.Levels[12].Value,12227
AccountTrie.Levels[12].Size,14779
AccountTrie.Levels[13].Short,0
AccountTrie.Levels[13].Full,0
AccountTrie.Levels[13].Value,144
AccountTrie.Levels[13].Size,0
AccountTrie.Summary.Short,378896752
AccountTrie.Summary.Full,138145767
AccountTrie.Summary.Value,374033759
AccountTrie.Summary.Size,59247690070
StorageSummary.TotalStorageTries,26015809
StorageSummary.Totals.Short,1550373223
StorageSummary.Totals.Full,524768895
StorageSummary.Totals.Value,1534086757
StorageSummary.Totals.Size,145513148860
StorageSummary.Levels[0].Short,14400918
StorageSummary.Levels[0].Full,11614891
StorageSummary.Levels[0].Value,0
